Unnamed: 0,Review,Rating
1,"I booked a room in Bay laurel hotel, faridabad for one of my guest coming from south india. Her travel got cancelled due to flood in area. My booking phone number is not working and i have tried all the ways since 2 days no revert to my email and there's no way to connect with customer care if that number is not woring.I have made a knot, never ever use 'MMT neither for personal nor for official.Hotel staff says we can't do anything, MMT has to cancel and send email to us. MMT has no service to help guest without phone number.Booking - NH71114294390592 Worst experience - Feeling helpless no point of contact to even share your problem.In deep regret to use MMT not other platform",1
2,In trip gaurantee you will not get 3x money he will give money in wallet and you will not use it. Very bad application my 2000 rs loss .,1
3,"Excellent service, value for money, better experience in all over application, one time touching heart,",5
4,"Till time I have not received my flight cancellations amount, You mislead people and take people's money and put it in the market account, you are a thief.. MakeMyTrip...",3
5,"Even after 5 days of ticket cancellation, I don't get money, I want money today. 9903297326.Why don't you understand people's problems, give me my money back,",1
6,"I booked ticket from BLR to Delhi and there was 1200/- discount with IDFC bank card fr 6 month interest free EMI. Bank charged the 15% interest. When called Bank, they says its false promise by MMT. When called MMT call center, person is not aware about this and say s its between Bank and me. I am attaching the offer snap from their site.",1
7,"Just fooling on the name of insurance, i wasn’t able to take flight for some reason but nothing was covered my make my trip travel insurance. fraudulent insurance",3
8,"Booked shimla manali package on Dec last week of 2023. Cab got changed 3 times before confirmation. Cab was arranged by a cheap local tour operator whose objective is to just get commission. However cab Driver was polite and supportive but it was his first tour to Manali and he was relying on the guidance of GPS and I was helping him with the sequence of locations. I took package to have Hassel free trip but that was not the case. For hilly terrain CNG/Petrol Cab is not recommended. But we were provided CNG/petrol Cab. There were trouble climbing few places and we have to get down and walk. Sending non experienced Cab Driver in such a Hilly area is very Risky. Travel part was really pathetic and there were addition Rs 2400 charge to pick up and drop from gurgaon. I had updated my pickup and drop location while booking. I was not informed about this addition charge. It came to me as last minute surprise. When I spoke to customer care about this their response was very pathetic. They said you have to pay. No other option. Else trip will get cancelled without any refund. And they proudly said in online booking we don't validate pickup and drop location. Pathetic travel experience. This package should be renamed as ""shimla Manali fool making package""",1
9,Not at all satisfied with the services.The customer service was very rude and not at all understanding.The cab services were very poor . Don't ever book a cab from make my trip. It is a scam company.,1
10,"I don't know where to get started. Customer service is absolutely unsupportive and rude. App didn't have the option of selecting the number of luggage unlike it has for number of people. Sent a car with hashback having space for only 1 luggage for 4 hrs interstate travel of 4 adults. What do you expect? We had to travel with all our luggage in our laps. Customer service didn't try to understand the problem, told us that even if we cancel the cab no money will be refunded nor any other cab will be booked. Charged a handsome amount of money for every EXTRA baggage according to them. FRAUD COMPANY. ONLY TRYING TO GET MONEY BY MISGUIDING PEOPLE. ADVICE : DO NOT USE MAKE MY TRIP. YOUR MONEY WILL GO IN VAIN.",1
11,"From our very first entry we were disappointed. The place did not at all look like the pictures used for advertising. Entering the reception area we were not even greeted. As we entered our room allocated I couldn't believe that people are expected to pay for such a disgusting room. We booked the premium room that was advertised using beautiful pictures. When we entered it looked like something out of a horror movie. The sheets were covered in yellow stains, the room smelled like urine, wallpaper was tearing from the walls, walls and mirrors were so dirty it looked like muddy hands were rubbed on them. The telephone was not working at all. When we entered the bathroom I was even shocked more. The glass panel of the shower looked like it has never been washed before and was covered in limescale and mould growing from the rubber linings. The shower floor also looked like it has never seen soap or water. We didn't even want to step on the floor with our shoes on. Upon my wives utter disappointment and discomfort in the room we approached them at the office were we were told that all rooms are premium rooms. Again, not at all like the pictures advertised. After a quarrel with the guy at the reception (who refused to give us his name or photo) and made a mockery of our names using them as a pseudonym we were given another room. Again, not at all like the pictures on the website. Even more horrible and disgusting if I have to say. The bed smelled like urine, the wallpaper was again tearing from the walls. The walls were so disgustingly dirty one can't even touch it without being scared of catching a disease. We were not given any keys to the room, nor a remote to the aircon. The bathroom was full of mould being a huge safety risk for my wife and son as they are both asthmatic. We were very disappointed and immediately phoned our Indian hosting family and friend to try and speak to them due to language barriers. He and his wife were both sworn at and treated in an extremely disrespectful manner.",1
